ID,Load,Group,Pre PV Rep 1,Pre PV Rep 2,Post PV Rep 1,Post PV Rep 2,Pre PP Rep 1,Pre PP Rep 2,Post PP Rep 1,Post PP Rep 2,Pre MV Rep 1,Pre MV Rep 2,Post MV Rep 1,Post MV Rep 2,Pre MP Rep 1,Pre MP Rep 2,Post MP Rep 1,Post MP Rep 2
8,45,cluster,1.04,1.23,1.37,1.34,444.47,572.62,894.38,414.13,0.74,0.8,0.91,0.88,281.23,304.3,428.59,414.13
8,55,cluster,1.02,0.89,1.15,1.13,423.05,473.1,458.08,437.53,0.7,0.64,0.82,0.79,263.8,299.74,458.08,437.53
8,65,cluster,0.88,0.89,0.86,0.9,522.15,548.56,431.98,430.42,0.63,0.61,0.65,0.64,351.71,341.77,431.98,430.42
8,75,cluster,0.81,0.72,0.66,0.71,549.18,495.93,416.04,422.61,0.54,0.5,0.55,0.56,336.53,313.84,416.04,422.61
8,85,cluster,0.56,0.59,0.41,0.46,417.18,459.92,290.2,280.28,0.4,0.41,0.33,0.32,283.21,289.15,290.2,280.28
8,95,cluster,0.34,0.34,0.35,0.38,304.56,300.92,255.49,255.12,0.24,0.22,0.26,0.26,189.21,174.2,255.49,255.12
9,45,cluster,1.26,1.24,1.49,1.47,276.96,274.09,345.96,344.46,0.89,0.81,1,0.98,158.12,144.24,193.29,178.35
9,55,cluster,1.01,0.99,1.45,1.14,265.48,243.04,336.46,288.19,0.7,0.73,0.95,0.81,163.25,163.25,180.83,181.09
9,65,cluster,0.84,0.75,1.1,0.78,253.34,220.63,284.18,228.6,0.57,0.59,0.81,0.63,156.19,163.25,167.64,181.61
9,75,cluster,0.64,0.63,0.94,0.86,223.41,210.17,282.05,252.29,0.43,0.45,0.63,0.68,135,139.27,180.35,174.14
9,85,cluster,0.6,0.59,0.77,0.72,215.08,221.24,256.14,237.27,0.42,0.42,0.56,0.55,141.93,139.86,171.58,110.8
9,95,cluster,0.46,0.53,0.46,0.45,180.54,212.18,172.89,176.22,0.22,0.22,0.31,0.38,82.26,84,134.99,175.54
10,45,cluster,1.22,1.21,0.96,1.06,613.05,624.56,539.01,578.83,0.79,0.79,0.71,0.73,333.42,333.42,226.39,331.44
10,55,cluster,1.02,0.92,0.76,0.84,505.42,526.71,527.38,524.59,0.71,0.64,0.59,0.63,307.84,333.42,341.16,342.21
10,65,cluster,0.78,0.85,0.6,0.66,537.6,538.56,414.29,480.2,0.59,0.65,0.48,0.53,327.74,353.24,364.11,323.69
10,75,cluster,0.62,0.66,0.48,0.54,477.96,501.34,395.68,444.59,0.51,0.49,0.39,0.39,390.66,359.84,351.19,302.64
10,85,cluster,0.48,0.46,0.4,0.42,402.79,377.01,372.7,412.88,0.35,0.26,0.24,0.22,349.02,279.42,300.66,215.9
10,95,cluster,0.39,0.42,0.35,0.32,367.12,405.46,380.83,357.07,0.26,0.26,0.13,0.14,205.5,227.41,199.64,127.38
11,45,cluster,0.87,0.88,1.14,1.05,166.49,169.34,243.48,212.82,0.58,0.59,0.72,0.7,102.53,105.5,125.53,128.48
11,55,cluster,0.79,0.84,0.98,0.89,165.56,181.43,253.53,230.43,0.57,0.56,0.64,0.61,114.94,112.38,142.94,135.4
11,65,cluster,0.69,0.64,0.79,0.79,178.3,163.62,232.36,234.43,0.48,0.48,0.54,0.52,116.45,118.43,144.02,139.07
11,75,cluster,0.54,0.53,0.65,0.62,162.9,157.83,219.11,215.01,0.38,0.39,0.44,0.44,108.84,113.73,135.66,136.62
11,85,cluster,0.42,0.4,0.53,0.49,144.96,127.83,202.53,185.28,0.33,0.3,0.33,0.31,103.05,92.7,119.05,109.85
11,95,cluster,0.32,0.4,0.37,0.38,123.65,145.63,149.88,157.28,0.18,0.21,0.24,0.22,63.36,76.56,94.33,87.85
12,45,cluster,1.16,1.28,1.37,1.32,497.52,581.63,704.62,672.68,0.78,0.84,0.88,0.86,307.26,319.3,379.18,362.73
12,55,cluster,1.2,1.1,1.07,1.08,590.53,553.66,641.71,709.19,0.84,0.77,0.76,0.73,375.6,341,404.58,392.49
12,65,cluster,0.81,0.79,0.88,0.72,462.95,444.34,599.7,503.09,0.62,0.63,0.61,0.6,330.48,334.67,381.44,375.07
12,75,cluster,0.77,0.59,0.75,0.82,520.8,426.37,611.1,700.78,0.57,0.48,0.56,0.52,356.44,296.42,400.53,369.57
12,85,cluster,0.58,0.52,0.43,0.52,429,384.14,365.05,444.64,0.45,0.37,0.35,0.4,322.25,260.97,277.51,316.42
12,95,cluster,0.49,0.45,0.39,0.5,362.21,362.45,413.88,483.3,0.33,0.32,0.28,0.28,232.35,252.37,256.1,258.37
13,45,cluster,1.2,1.17,1.13,1.19,751.86,735.29,734.23,834.69,0.85,0.87,0.82,0.84,478.22,492.33,477.31,491.85
13,55,cluster,1.03,1,0.96,0.95,773.83,743.12,754.95,749.14,0.78,0.76,0.73,0.74,521.61,513.19,519.28,527.17
13,65,cluster,0.82,0.77,0.71,0.69,702.9,732.95,748.93,671.98,0.67,0.64,0.59,0.58,538.34,513.04,497.45,490.94
13,75,cluster,0.66,0.68,0.68,0.58,847.89,773.73,890.5,744.66,0.55,0.52,0.46,0.43,499.65,479.43,451.36,425.87
13,85,cluster,0.61,0.6,0.5,0.5,804.69,819.31,659.04,730.55,0.39,0.43,0.25,0.29,400.7,437.73,267.95,315.48
13,95,cluster,0.49,0.5,0.49,0.41,678.98,742.06,714.06,622.08,0.16,0.16,0.19,0.18,182.64,181.96,232.62,218.22
14,45,cluster,0.89,0.8,0.82,0.85,138.69,120.6,308.4,323.64,0.55,0.64,0.59,0.59,73.44,85.69,197.11,197.96
14,55,cluster,0.87,0.93,0.66,0.71,148.96,161.57,124.91,134.58,0.63,0.66,0.45,0.54,99.01,102.24,82.87,96.55
14,65,cluster,0.73,0.77,0.77,0.67,129.55,150.18,201.59,160.2,0.42,0.55,0.48,0.45,66.05,97.57,108.23,100.37
14,75,cluster,0.7,0.62,0.56,0.49,164.3,145.66,148.41,125.76,0.52,0.49,0.42,0.41,116.22,108.26,102.58,99.69
14,85,cluster,0.5,0.48,0.56,0.53,128.37,122.19,154.39,166.77,0.37,0.39,0.31,0.31,90.75,96.17,75.8,90.74
14,95,cluster,0.41,0.43,0.44,0.52,112.53,117.46,145.88,168.95,0.31,0.34,0.18,0.27,,90.71,57.41,83.68
15,45,trad,0.97,1.19,1.04,1.01,644,820.16,747.67,717.68,0.71,0.82,0.72,0.68,417.86,481.57,465.18,438.16
15,55,trad,0.94,0.82,0.84,0.81,817.71,752.63,798.86,724.14,0.69,0.61,0.58,0.52,505.35,442.86,465.91,414.91
